inspection_id,campaign_alert,inspection_created_at,prefeitura,gov_do_estado,vereadores,ass_legislativa,fnde,cgu,inspection_last_updated,user_id,project_id,funded_by,location_city,state,inspection_status,entity_who_answered,answer_content,valid_answer
467,0,2018-04-13T17:45:30.757520Z,1,0,1,0,0,1,2018-06-29T13:01:03.900436Z,2459,1010679,1,Gravataí,RS,answered,Controladoria-Geral da União,"Manifestação concluída em 28/06/2018 22:10 por RENATA COSTA DE SOUSA: Conforme contato anterior, comunicamos que, em resposta à nossa solicitação, a Ouvidoria do FNDE enviou os esclarecimentos transcritos abaixo:
“Prezados Senhores,
 
Após análise da demanda pelo setor responsável segue resposta abaixo:
 
•	Em resposta à Manifestação 00106.011487/2018-13, destacamos que as informações a respeito da obra ID 1010679 (E.M.E.I Raio de Sol), objeto do Termo de Compromisso 11311/2014, podem ser consultadas no link:http://simec.mec.gov.br/painelObras/dadosobra.php?obra=1010679. A Prefeitura de Gravataí/RS deverá concluir a unidade educacional no prazo de vigência do instrumento pactuado.  
 
Outrossim, ressaltamos que o Município é o gestor do empreendimento e que eventuais dúvidas devem ser endereçadas ao ente, a quem compete responder as questões sobre atraso e pendências relacionadas à contratação.
 
                        Colocamo-nos à disposição para quaisquer esclarecimentos.
 
 
Atenciosamente,
 
OUVIDORIA
Fundo Nacional de Desenvolvimento da Educação – FNDE”

Sem mais para o momento, estamos à disposição para outros esclarecimentos.
Atenciosamente,

Coordenação-Geral de Atendimento ao(à) Cidadão(ã) (CGCid)
Ouvidoria-Geral da União (OGU)
Ministério da Transparência e Controladoria-Geral da União (CGU)
ACESSE: www.ouvidorias.gov.br  ",1
469,0,2018-04-25T17:24:33.672273Z,1,0,1,0,0,1,2018-06-29T18:03:39.073195Z,,1006110,1,Taubaté,SP,answered,Prefeitura Municipal de Taubaté,"Devido aos atrasos nos pagamentos que são repassados pelo governo federal, ocorridos a partir de junho de 2017, houve uma desestabilização econômica da empresa, sendo necessária a redução do quadro de funcionários e investimentos em materiais, gerando o atraso na construção da Creche Fazendinha. Atualmente a obra se encontra com execução próxima de 71%, prevista para ser entregue em 21/07/18",1
469,0,2018-04-25T17:24:33.672273Z,1,0,1,0,0,1,2018-06-29T18:03:39.073195Z,,1006110,1,Taubaté,SP,answered,Controladoria-Geral da União,"Manifestação concluída em 14/08/2018 19:55 por MELINA SILVA PEREIRA LABOISSIERE: À Equipe Ta de pé,
Conforme contato anterior, comunicamos que, em resposta à nossa solicitação, a Ouvidoria do FNDE nos enviou os esclarecimentos transcritos abaixo:
“Prezado (a),
 
Reportamo-nos à manifestação nº 00106.013728/2018-51.
 
Após análise, a Diretoria de Gestão, Articulação e Projetos Educacionais – DIGAP informou que:
 
As informações a respeito da obra ID 1006110 (Creche Municipal Fazendinha), objeto do Termo de Compromisso 7018/2013, podem ser consultadas no link:  http://simec.mec.gov.br/painelObras/dadosobra.php?obra=1006110. A Prefeitura de Taubaté/SP deverá concluir a unidade educacional no prazo de vigência do instrumento pactuado.  
 
Outrossim, ressaltamos que o Município é o gestor do empreendimento e que eventuais dúvidas devem ser endereçadas ao ente, a quem compete responder as questões sobre atraso e pendências relacionadas à contratação.
 
Colocamo-nos à disposição para quaisquer esclarecimentos.
 
Atenciosamente,
 
OUVIDORIA
Fundo Nacional de Desenvolvimento da Educação - FNDE""
Assim sendo, estamos encerrando a presente manifestação. Sem mais para o momento, estamos à disposição para outros esclarecimentos.

Atenciosamente,

Coordenação-Geral de Atendimento ao(à) Cidadão(ã) (CGCid)
Ouvidoria-Geral da União
Ministério da Transparência e Controladoria-Geral da União (CGU)
ACESSE: www.ouvidorias.gov.br  
",1
78,0,2017-06-17T19:55:20.974719Z,0,0,0,0,1,0,2019-02-25T16:57:46.045938Z,6,1001628,1,Três Corações,MG,not answered,,,
108,0,2017-06-26T14:58:20.446852Z,0,0,0,0,1,0,2019-02-25T16:59:57.080563Z,6,24353,1,Três Corações,MG,not answered,,,
109,0,2017-06-26T14:59:12.979258Z,0,0,0,0,1,0,2019-02-25T17:00:24.760900Z,6,24353,1,Três Corações,MG,not answered,,,
181,0,2017-09-19T02:43:30.041818Z,1,0,1,0,1,1,2018-01-03T18:51:16.009117Z,59,1015117,1,Riachão do Dantas,SE,answered,Controladoria-Geral da União,"A obra ID 1015117, Termo de Compromisso 9669/2014, está paralisada com 73,77% de execução, conforme vistoria em 05/12/2017. O município é o gestor da Obra e dúvidas sobre o motivo da paralisação devem ser endereçadas a ele. O FNDE já repassou o valor de R$ 171.142,84, referente a 70% do montante  pactuado. O Termo de Compromisso está vigente até 20/01/2018 e o município deve cumprir este prazo.",1
693,0,2018-12-03T17:33:45.603366Z,1,0,1,0,1,1,2018-12-25T11:07:00.263357Z,,1002407,1,Osasco,SP,answered,Prefeitura Municipal de Osasco,"Informamos que solicitações de informação referente à administração executiva municipal de Osasco, deverão ser realizadas através do Serviço de Informação ao Cidadão (SIC) através do telefone 156, da Ouvidoria Municipal ( via presencial: Rua Aurora Soares Barbosa, 201 - Vila Campesina ou por telefone: 0800-77 111 75 ) ou eletronicamente através do site: e-sic: http://e-sic.osasco.sp.gov.br/, conforme estabelecido no decreto municipal 11440/2017.",0
693,0,2018-12-03T17:33:45.603366Z,1,0,1,0,1,1,2018-12-25T11:07:00.263357Z,,1002407,1,Osasco,SP,answered,Fundo Nacional de Desenvolvimento da Educação,"Manifestação concluída em 24/12/2018 08:11 por Elicicilia dos Santos Batista: Prezado(a) Senhor(a),

Após análise segue resposta abaixo:
•	Em resposta à Manifestação 23546.041683/2018-21, destacamos que as informações a respeito da obra ID 1002407 (EMEI Vila Militar-UNIFESP), objeto do Termo de Compromisso 5442/2013, podem ser consultadas no link: http://simec.mec.gov.br/painelObras/dadosobra.php?obra=1002407. A Prefeitura de Osasco/SP deverá concluir a unidade educacional no prazo de vigência do instrumento pactuado.  

Outrossim, ressaltamos que o Município é o gestor do empreendimento e que eventuais dúvidas devem ser endereçadas ao ente, a quem compete responder as questões sobre atraso e pendências relacionadas à execução.

                        Colocamo-nos à disposição para quaisquer esclarecimentos.
Ouvidoria/FNDE",1
693,0,2018-12-03T17:33:45.603366Z,1,0,1,0,1,1,2018-12-25T11:07:00.263357Z,,1002407,1,Osasco,SP,answered,Controladoria-Geral da União,"Manifestação concluída em 09/01/2019 09:23 por Elicicilia dos Santos Batista: Prezado(a) Senhor(a),


Em resposta à Manifestação 00106.020466/2018-81, destacamos que as informações a respeito da obra ID 1002407 (EMEI Vila Militar-UNIFESP), objeto do Termo de Compromisso 5442/2013, podem ser consultadas no link: http://simec.mec.gov.br/painelObras/dadosobra.php?obra=1002407. A Prefeitura de Osasco/SP deverá concluir a unidade educacional no prazo de vigência do instrumento pactuado.  

Outrossim, ressaltamos que o Município é o gestor do empreendimento e que eventuais dúvidas devem ser endereçadas ao ente, a quem compete responder as questões sobre atraso e pendências relacionadas à contratação.
            
Colocamo-nos à disposição para quaisquer esclarecimentos. 
Atenciosamente,

Ouvidoria/FNDE",1
546,0,2018-07-15T17:53:20.865132Z,1,0,1,0,0,1,2018-12-11T13:26:36.823878Z,166,32941,1,Fortaleza,CE,answered,Controladoria-Geral da União,"Manifestação concluída em 13/09/2018 18:50 por MELINA SILVA PEREIRA LABOISSIERE: À Equipe Ta de pé,
Conforme contato anterior, comunicamos que, em resposta à nossa solicitação, a Ouvidoria do FNDE nos enviou os esclarecimentos transcritos abaixo:
“Prezados Senhores,
 
Encaminhe-se a resposta da Manifestação abaixo, para conhecimento e providências subsequentes.
 
Em resposta à Manifestação, destacamos que as informações a respeito da obra ID 32941 (PROINFÂNCIA - RUA GALÁXIA - LUCIANO CAVALCANTE), objeto do Termo de Compromisso 4111/2013, podem ser consultadas no link: http://simec.mec.gov.br/painelObras/dadosobra.php?obra=32941. A Prefeitura de Fortaleza/CE deverá concluir a unidade educacional no prazo de vigência do instrumento pactuado.  
 
Outrossim, ressaltamos que o Município é o gestor do empreendimento e que eventuais dúvidas devem ser endereçadas ao ente, a quem compete responder as questões sobre atraso e pendências relacionadas à contratação.
 
                        Colocamo-nos à disposição para quaisquer esclarecimentos.
 
Atenciosamente,
 
OUVIDORIA
Fundo Nacional de Desenvolvimento da Educação - FNDE.""
Assim sendo, estamos encerrando a presente manifestação. Sem mais para o momento, estamos à disposição para outros esclarecimentos.

Atenciosamente,

Coordenação-Geral de Atendimento ao(à) Cidadão(ã) (CGCid)
Ouvidoria-Geral da União
Ministério da Transparência e Controladoria-Geral da União (CGU)
ACESSE: www.ouvidorias.gov.br  ",1
