nome_do_anuncio,nome_do_conjunto_de_anuncios,identificacao_da_campanha,veiculacao_do_anuncio,alcance,impressoes,frequencia,tipo_de_resultado,resultados,custo_por_resultado,valor_gasto_brl,cpm_custo_por_1_000_impressoes,cliques_no_link,cpc_custo_por_clique_no_link,ctr_taxa_de_cliques_no_link,inicio_dos_relatorios,termino_dos_relatorios,termino
"Publicação: """"Conheça o projeto da ONG Transparência Brasil que pode agilizar a entrega de creches e escolas p..."""" - Envolvimento",VÍDEO Tá de Pé Facebook,23842610280520620,not_delivering,327834,588360,1.7946887754168,Envolvimento com a publicação,100611,0.016399797238871,1650,2.80440547,84,19.64285714,0.014276973281664,2017-08-13,2019-02-15,
Tráfego Carrossel 1,Carrossel 1,23842606724770620,not_delivering,163191,298977,1.8320679449234,Cliques no link,9561,0.11505072691141,1100,3.67921278,9561,0.11505073,3.1979048555575,2017-08-13,2019-02-15,42979
Carrossel - Instalações do aplicativo Pixel,Carrossel - Tá de Pé - Pixel,23842624516340620,not_delivering,129328,197218,1.5249443276011,Instalações do aplicativo para celular,201,2.4875621890547,500,2.53526554,4066,0.12297098,2.0616779401475,2017-08-13,2019-02-15,43008
Instalações do aplicativo_Ta de Pé Baixar,Carrossel Baixar_APP Tá de Pé,23842618715890620,not_delivering,55751,89334,1.6023748452943,"",,,412.61,4.61873419,4195,0.09835757,4.6958604786531,2017-08-13,2019-02-15,43008
"Publicação: """"Quer pressionar o governo a entregar aquela obra...""""","Publicação: """"Quer pressionar o governo a entregar aquela obra...""""",23842605824370620,archived,15196,17176,1.1302974466965,Envolvimento com a publicação,4001,0.078752811797051,315.09,18.34478342,5,63.018,0.029110386585934,2017-08-13,2019-02-15,
Transparência Brasil - Visualizações do vídeo,GIF 1,23842609585410620,not_delivering,75396,90063,1.1945328664651,Visualizações do vídeo por no minimo 3 segundos,18673,0.016065977614738,300,3.33100163,50,6,0.055516693869847,2017-08-13,2019-02-15,42973
"Publicação: """"Chega de obra que não sai. Isso mesmo. Baixe o...""""","Publicação: """"Chega de obra que não sai. Isso mesmo. Baixe o...""""",23842612938290620,not_delivering,19078,22989,1.205000524164,Envolvimento com a publicação,5262,0.057012542759407,300,13.04971943,3,100,0.013049719431032,2017-08-13,2019-02-15,
"Publicação: """"Todo dia você passa e nada da escola ou creche...""""","Publicação: """"Todo dia você passa e nada da escola ou creche...""""",23842610692490620,not_delivering,14407,17916,1.2435621572847,Envolvimento com a publicação,4701,0.063816209317167,300,16.74480911,7,42.85714286,0.039071221254744,2017-08-13,2019-02-15,
"Publicação: """"Você sabia que 46% das obras de creches e escolas...""""","Publicação: """"Você sabia que 46% das obras de creches e escolas...""""",23842608192450620,not_delivering,19107,22213,1.1625582247344,Envolvimento com a publicação,5303,0.056571751838582,300,13.50560483,1,300,0.0045018682753343,2017-08-13,2019-02-15,
"Publicação: """"Sabia que tem mais de 800 obras de escolas e creches no Maranhão? Use o APP Tá de Pé e pressione..."""" - Envolvimento",Envolvimento Maranhão,23842645718010620,not_delivering,10382,13565,1.3065883259488,Envolvimento com a publicação,3224,0.077543424317618,250,18.42978253,67,3.73134328,0.49391817176557,2017-08-13,2019-02-15,
Default Name - Instalações do aplicativo,Instalações iOS - CENTRO,23842710800370620,not_delivering,14289,24255,1.6974595842956,Instalações do aplicativo para celular,3,83.333333333333,250,10.30715316,36,6.94444444,0.14842300556586,2017-08-13,2019-02-15,42978
Default Name - Instalações do aplicativo,Instalações iOS - CENTRO,23842710800370620,not_delivering,14289,24255,1.6974595842956,Instalações do aplicativo para celular,3,83.333333333333,250,10.30715316,36,6.94444444,0.14842300556586,2017-08-13,2019-02-15,43145
Default Name - Instalações do aplicativo,Instalações iOS - CENTRO,23842710800370620,not_delivering,14289,24255,1.6974595842956,Instalações do aplicativo para celular,3,83.333333333333,250,10.30715316,36,6.94444444,0.14842300556586,2017-08-13,2019-02-15,43145
Default Name - Instalações do aplicativo,Instalações iOS - CENTRO,23842710800370620,not_delivering,14289,24255,1.6974595842956,Instalações do aplicativo para celular,3,83.333333333333,250,10.30715316,36,6.94444444,0.14842300556586,2017-08-13,2019-02-15,43145
Default Name - Instalações do aplicativo,Instalações iOS - CENTRO,23842710800370620,not_delivering,14289,24255,1.6974595842956,Instalações do aplicativo para celular,3,83.333333333333,250,10.30715316,36,6.94444444,0.14842300556586,2017-08-13,2019-02-15,43145
