id,nome,situacao,municipio,uf,cep,logradouro,bairro,percentual_de_execucao,data_prevista_de_conclusao_da_obra,tipo_do_projeto,rede_de_ensino_publico,nome_da_entidade,visivel_no_app,grupo_controle
1365,830167 - Escola de Educação Infantil - Tipo B - Tauá/CE,Concluída,Tauá,CE,63660000,Rua PEDRO INÁCIO DE SOUSA,BEZERRA E SOUSA,100,,Escola de Educação Infantil Tipo B,Municipal,PREF MUN DE TAUA,0,0
1366,830361 - Escola de Educação Infantil - Tipo B - Conchas/SP,Concluída,Conchas,SP,18570000,RUA LUIZ SARTORI,JARDIM OLIVEIRA,100,,Escola de Educação Infantil Tipo B,Municipal,PREF MUN DE CONCHAS,0,0
1367,830053 - Escola de Educação Infantil - Itararé/SP,Concluída,Itararé,SP,18460000,Rua Sofia Dias Menck,Jd. Santa terezinha,100,2014-08-22,Escola de Educação Infantil Tipo B,Municipal,PREF MUN DE ITARARE,0,0
1368,710101 - Escola de Educação Infantil - Reserva do Cabaçal/MT,Concluída,Reserva do Cabaçal,MT,78265000,Rua princesa izabel,Centro,63.88,2014-01-02,Escola de Educação Infantil Tipo B,Municipal,PREF MUN DE RESERVA DO CABACAL,0,0
1370,700022 - Escola de Educação Inf - São João do Jaguaribe/CE,Inacabada,São João do Jaguaribe,CE,62965000,Rua Daniel Rodrigues,Centro,36.97,2014-11-25,Escola de Educação Infantil Tipo B,Municipal,PREF MUN DE SAO JOAO DO JAGUARIBE,0,0
1371,830057 - Escola de Educação Infantil - Senador Sá/CE,Concluída,Senador Sá,CE,62470000,Rua Nossa Senhora do Carmo,Centro,100,2014-07-23,Escola de Educação Infantil Tipo B,Municipal,PREF MUN DE SENADOR SA,0,0
1372,700064 - Escola de Educação Infantil - Tipo B - Tamboril/CE,Concluída,Tamboril,CE,63750000,Rua Coronel Salustiano,Centro,100,,Escola de Educação Infantil Tipo B,Municipal,PREF MUN DE TAMBORIL,0,0
1373,830106 - Escola de Educação Infantil - Floriano/PI,Concluída,Floriano,PI,64800000,Rua José Soares,Irapuá,100,,Escola de Educação Infantil Tipo B,Municipal,PREF MUN DE FLORIANO,0,0
1374,700012 - Escola Educação Inf - B Vila Nova - São Luis/MA,Obra Cancelada,São Luís,MA,65030470,Rua Nossa Senhora das Graças,Bairro Vila Nova,0,,Escola de Educação Infantil Tipo B,Municipal,MUNICIPIO DE SAO LUIS,0,0
1375,700027/2008 - Escola de Educação Infantil - Itaituba/PA,Concluída,Itaituba,PA,68180010,Rodovia Transamazônica,Comércio,100,2014-06-06,Escola de Educação Infantil Tipo B,Municipal,MUNICIPIO DE ITAITUBA,0,0
1376,710223 - Escola de Educação Infantil - Tururu/CE,Concluída,Tururu,CE,62655000,Rua Principal,Centro,100,,Escola de Educação Infantil Tipo B,Municipal,PREF MUN DE TURURU,0,0
1377,830054 - Escola de Educação Infantil - Uruburetama/CE,Obra Cancelada,Uruburetama,CE,62650000,Rua Francisco Ferreira Fonteneles,Centro,0,,Escola de Educação Infantil Tipo B,Municipal,PREF MUN DE URUBURETAMA,0,0
1378,830039 - Escola de Educação Infantil - Tipo B - Fortim/CE,Concluída,Fortim,CE,62815000,Terminal Rodoviário Conceição Chianca,Centro,100,,Escola de Educação Infantil Tipo B,Municipal,PREF MUN DE FORTIM,0,0
1379,830014 - Escola de Educação Infantil - Açu/RN,Concluída,Açu,RN,59650000,RUA DR LUIZ ANTONIO,DOM. ELIZEU,99.07,2014-09-14,Escola de Educação Infantil Tipo B,Municipal,PREF MUN DE ASSU,0,0
