id,nome,situacao,municipio,uf,cep,logradouro,bairro,percentual_de_execucao,data_prevista_de_conclusao_da_obra,tipo_do_projeto,rede_de_ensino_publico,nome_da_entidade,visivel_no_app,grupo_controle
1365,830167 - Escola de EducaÁ„o Infantil - Tipo B - Tau·/CE,ConcluÌda,Tau√°,CE,63660000,Rua PEDRO IN¡CIO DE SOUSA,BEZERRA E SOUSA,100,,Escola de EducaÁ„o Infantil Tipo B,Municipal,PREF MUN DE TAUA,0,0
1366,830361 - Escola de EducaÁ„o Infantil - Tipo B - Conchas/SP,ConcluÌda,Conchas,SP,18570000,RUA LUIZ SARTORI,JARDIM OLIVEIRA,100,,Escola de EducaÁ„o Infantil Tipo B,Municipal,PREF MUN DE CONCHAS,0,0
1367,830053 - Escola de EducaÁ„o Infantil - ItararÈ/SP,ConcluÌda,Itarar√©,SP,18460000,Rua Sofia Dias Menck,Jd. Santa terezinha,100,2014-08-22,Escola de EducaÁ„o Infantil Tipo B,Municipal,PREF MUN DE ITARARE,0,0
1368,710101 - Escola de EducaÁ„o Infantil - Reserva do CabaÁal/MT,ConcluÌda,Reserva do Caba√ßal,MT,78265000,Rua princesa izabel,Centro,63.88,2014-01-02,Escola de EducaÁ„o Infantil Tipo B,Municipal,PREF MUN DE RESERVA DO CABACAL,0,0
1370,700022 - Escola de EducaÁ„o Inf - S„o Jo„o do Jaguaribe/CE,Inacabada,S√£o Jo√£o do Jaguaribe,CE,62965000,Rua Daniel Rodrigues,Centro,36.97,2014-11-25,Escola de EducaÁ„o Infantil Tipo B,Municipal,PREF MUN DE SAO JOAO DO JAGUARIBE,0,0
1371,830057 - Escola de EducaÁ„o Infantil - Senador S·/CE,ConcluÌda,Senador S√°,CE,62470000,Rua Nossa Senhora do Carmo,Centro,100,2014-07-23,Escola de EducaÁ„o Infantil Tipo B,Municipal,PREF MUN DE SENADOR SA,0,0
1372,700064 - Escola de EducaÁ„o Infantil - Tipo B - Tamboril/CE,ConcluÌda,Tamboril,CE,63750000,Rua Coronel Salustiano,Centro,100,,Escola de EducaÁ„o Infantil Tipo B,Municipal,PREF MUN DE TAMBORIL,0,0
1373,830106 - Escola de EducaÁ„o Infantil - Floriano/PI,ConcluÌda,Floriano,PI,64800000,Rua JosÈ Soares,Irapu·,100,,Escola de EducaÁ„o Infantil Tipo B,Municipal,PREF MUN DE FLORIANO,0,0
1374,700012 - Escola EducaÁ„o Inf - B Vila Nova - S„o Luis/MA,Obra Cancelada,S√£o Lu√≠s,MA,65030470,Rua Nossa Senhora das GraÁas,Bairro Vila Nova,0,,Escola de EducaÁ„o Infantil Tipo B,Municipal,MUNICIPIO DE SAO LUIS,0,0
1375,700027/2008 - Escola de EducaÁ„o Infantil - Itaituba/PA,ConcluÌda,Itaituba,PA,68180010,Rodovia TransamazÙnica,ComÈrcio,100,2014-06-06,Escola de EducaÁ„o Infantil Tipo B,Municipal,MUNICIPIO DE ITAITUBA,0,0
1376,710223 - Escola de EducaÁ„o Infantil - Tururu/CE,ConcluÌda,Tururu,CE,62655000,Rua Principal,Centro,100,,Escola de EducaÁ„o Infantil Tipo B,Municipal,PREF MUN DE TURURU,0,0
1377,830054 - Escola de EducaÁ„o Infantil - Uruburetama/CE,Planejamento pelo proponente,Uruburetama,CE,62650000,Rua Francisco Ferreira Fonteneles,Centro,0,,Escola de EducaÁ„o Infantil Tipo B,Municipal,PREF MUN DE URUBURETAMA,0,0
1378,830039 - Escola de EducaÁ„o Infantil - Tipo B - Fortim/CE,ConcluÌda,Fortim,CE,62815000,Terminal Rodovi·rio ConceiÁ„o Chianca,Centro,100,,Escola de EducaÁ„o Infantil Tipo B,Municipal,PREF MUN DE FORTIM,0,0
1379,830014 - Escola de EducaÁ„o Infantil - AÁu/RN,ConcluÌda,A√ßu,RN,59650000,RUA DR LUIZ ANTONIO,DOM. ELIZEU,99.07,2014-09-14,Escola de EducaÁ„o Infantil Tipo B,Municipal,PREF MUN DE ASSU,0,0
1380,700037 - Escola de EducaÁ„o Inf - Novo Oriente do PiauÌ/PI,ConcluÌda,Novo Oriente do Piau√≠,PI,64530000,AV. SANTO AMARO,GIL MARQUES,99.98,2016-12-30,Escola de EducaÁ„o Infantil Tipo B,Municipal,PREF MUN DE NOVO ORIENTE DO PIAUI,0,0
1381,700080 - Escola de EducaÁ„o Infantil - Oeiras/PI,Inacabada,Oeiras,PI,64500000,PraÁa da VitÛria,Centro,72.3,2017-06-26,Escola de EducaÁ„o Infantil Tipo B,Municipal,PREF MUN DE OEIRAS,0,0
1382,830240 - Escola de EducaÁ„o Infantil - Tiangu·/CE,ConcluÌda,Tiangu√°,CE,62320000,Rua JosÈ Gomes Diniz,Centro,100,,Escola de EducaÁ„o Infantil Tipo B,Municipal,PREF MUN DE TIANGUA,0,0
1383,830022 - Escola de EducaÁ„o Infantil - Bara˙na/RN,ConcluÌda,Bara√∫na,RN,59695000,Avenida JerÙnimo Rosado,Centro,100,,Escola de EducaÁ„o Infantil Tipo B,Municipal,PREFEITURA MUNICIPAL DE BARAUNA,0,0
1385,700076 - Escola de EducaÁ„o Infantil - Humait·/AM,Planejamento pelo proponente,Humait√°,AM,69800000,Rua Padre JosÈ de Souza Pena,S„o Pedro,0,,Escola de EducaÁ„o Infantil Tipo B,Municipal,PREF MUN DE HUMAITA,0,0
1386,830030 - Escola de EducaÁ„o Infantil - Pirapemas/MA,Inacabada,Pirapemas,MA,65460000,Rua AntÙnio Ribeiro,Centro,36.99,,Escola de EducaÁ„o Infantil Tipo B,Municipal,PREF MUN DE PIRAPEMAS,0,0
1387,830273 - Escola de EducaÁ„o Infantil - Presidente Dutra/MA,ConcluÌda,Presidente Dutra,MA,65760000,PraÁa S„o Sebasti„o,Centro,100,2014-08-27,Escola de EducaÁ„o Infantil Tipo B,Municipal,PREF MUN DE PRESIDENTE DUTRA,0,0
1389,830391 Escola de EducaÁ„o Infantil - Lajeado/TO,ConcluÌda,Lajeado,TO,77645000,Rua Jo„o Batalha,Setor Central,100,,Escola de EducaÁ„o Infantil Tipo B,Municipal,PREF MUN DE LAJEADO,0,0
1391,830359 - Escola de EducaÁ„o Infantil - Brotas/SP,ConcluÌda,Brotas,SP,17380000,Rua Henrique Osti,Jardim Modelo,100,,Escola de EducaÁ„o Infantil Tipo B,Municipal,PREF MUN DE BROTAS,0,0
1392,710131 - Escola de EducaÁ„o Infantil - Tipo B - Buritizal/SP,ConcluÌda,Buritizal,SP,14570000,Rua Paran·,Centro,100,,Escola de EducaÁ„o Infantil Tipo B,Municipal,PREF MUN DE BURITIZAL,0,0
1393,830352 - Escola de EducaÁ„o Infantil - Caconde/SP,ConcluÌda,Caconde,SP,13770000,"RUA AUGUSTO MARTINS DE OLIVEIRA, ESQ. C/ RUA HEITOR TARDELLI",Centro,100,,Escola de EducaÁ„o Infantil Tipo B,Municipal,PREF MUN DE CACONDE,0,0
1395,830095 - Escola de EducaÁ„o Infantil - Pentecoste/CE,ConcluÌda,Pentecoste,CE,62640000,Rua JosÈ Rodrigues Machado,Centro,100,,Escola de EducaÁ„o Infantil Tipo B,Municipal,PREF MUN DE PENTECOSTE,0,0
1396,700130 - Escola de EducaÁ„o Infantil - GoianÈsia do Par·/PA,ConcluÌda,Goian√©sia do Par√°,PA,,"","",100,2016-09-30,Escola de EducaÁ„o Infantil Tipo B,Municipal,PREF MUN DE GOIANESIA DO PARA,0,0
1397,700074 - Escola de EducaÁ„o Inf - ColÙnia do GurguÈia/PI,ConcluÌda,Col√¥nia do Gurgu√©ia,PI,64885000,Avenida Juscelino Kubitschek,Centro,100,2015-10-25,Escola de EducaÁ„o Infantil Tipo B,Municipal,PREF MUN DE COLONIA DO GURGUEIA,0,0
1400,830143 - Escola de EducaÁ„o Infantil - Porteirinha/MG,ConcluÌda,Porteirinha,MG,39520000,RUA BERTO MIRANDA,VILA GUAR¡,100,,Escola de EducaÁ„o Infantil Tipo B,Municipal,PREF MUN DE PORTEIRINHA,0,0
1401,830123 - Escola de EducaÁ„o Infantil - PotÈ/MG,ConcluÌda,Pot√©,MG,39827000,Avenida Sao Tiago,Centro,92.1,2015-03-14,Escola de EducaÁ„o Infantil Tipo B,Municipal,PREF MUN DE POTE,0,0
1402,830266 - Escola de EducaÁ„o Infantil - Fortaleza/CE,ConcluÌda,Fortaleza,CE,60745640,Rua N,Bairro Itaperi,100,,Escola de EducaÁ„o Infantil Tipo B,Municipal,PREF MUN DE FORTALEZA,0,0
1403,830166 - Escola de EducaÁ„o Infantil - Itapipoca/CE,ConcluÌda,Itapipoca,CE,62500000,Rua Coronel Bento Alves,Centro,100,,Escola de EducaÁ„o Infantil Tipo B,Municipal,PREF MUN DE ITAPIPOCA,0,0
1404,830186 - Escola de EducaÁ„o Infantil - Guai˙ba/CE,ConcluÌda,Guai√∫ba,CE,61890000,Rua Antonio Eumiro de Sousa,Caixa d'¡gua,100,,Escola de EducaÁ„o Infantil Tipo B,Municipal,PREF MUN DE GUAIUBA,0,0
1405,830044 - Escola de EducaÁ„o Infantil - Recreio/MG,Planejamento pelo proponente,Recreio,MG,36740000,Rua Julio Martins,Centro,95.32,,Escola de EducaÁ„o Infantil Tipo B,Municipal,PREF MUN DE RECREIO,0,0
1407,700078 - Escola de EducaÁ„o Infantil - Encanto/RN,Planejamento pelo proponente,Encanto,RN,59905000,Rua Sete de Setembro,Centro,0,,Escola de EducaÁ„o Infantil Tipo B,Municipal,PREF MUN DE ENCANTO,0,0
1408,710117 - Escola de EducaÁ„o Infantil - Fernando Pedroza/RN,ConcluÌda,Fernando Pedroza,RN,59517000,Rua Vereador Jo„o Salviano Sobrinho,Centro,100,,Escola de EducaÁ„o Infantil Tipo B,Municipal,PREF MUN DE FERNANDO PEDROSA,0,0
1409,700031 - Escola de EducaÁ„o Infantil - Jaguaribara/CE,ConcluÌda,Jaguaribara,CE,63490000,Rua Zacarias Silveira,Centro,95.19,2015-06-29,Escola de EducaÁ„o Infantil Tipo B,Municipal,PREF MUN DE JAGUARIBARA,0,0
